f	Re	Im
1e+06	329.4	-621
794300	462.7	-692.8
631000	621.2	-738.9
501200	792.5	-748.8
398100	959.5	-720.2
316200	1107	-659.8
251200	1225	-580.3
199500	1314	-494.5
158500	1377	-411.7
125900	1420	-337.3
1e+05	1449	-273.5
79430	1467	-220.2
63100	1479	-176.6
50120	1487	-141.2
39810	1492	-112.9
31620	1495	-90.22
25120	1497	-72.21
19950	1498	-57.95
15850	1499	-46.71
12590	1500	-37.89
10000	1500	-31.04
7943	1501	-25.79
6310	1501	-21.83
5012	1501	-18.96
3981	1502	-17
3162	1502	-15.83
2512	1503	-15.37
1995	1503	-15.55
1585	1504	-16.35
1259	1505	-17.78
1000	1506	-19.85
794.3	1507	-22.6
631	1509	-26.1
501.2	1511	-30.43
398.1	1514	-35.68
316.2	1517	-41.96
251.2	1521	-49.38
199.5	1527	-58.05
158.5	1533	-68.06
125.9	1541	-79.46
100	1552	-92.19
79.43	1565	-106.1
63.1	1581	-120.9
50.12	1600	-136.1
39.81	1623	-150.9
31.62	1650	-164.3
25.12	1681	-175.5
19.95	1714	-183.3
15.85	1749	-187.2
12.59	1784	-186.9
10	1818	-182.7
7.943	1849	-175.2
6.31	1878	-165.4
5.012	1903	-154.4
3.981	1926	-143
3.162	1945	-132.1
2.512	1962	-122.1
1.995	1976	-113.6
1.585	1989	-106.6
1.259	2001	-101.3
1	2012	-97.77
0.7943	2022	-95.93
0.631	2032	-95.8
0.5012	2043	-97.33
0.3981	2053	-100.5
0.3162	2064	-105.4
0.2512	2076	-111.9
0.1995	2089	-120.2
0.1585	2103	-130.3
0.1259	2118	-142.3
0.1	2135	-156.3
0.07943	2154	-172.5
0.0631	2174	-191.2
0.05012	2197	-212.5
0.03981	2223	-236.6
0.03162	2252	-263.7
0.02512	2284	-294
0.01995	2318	-328.5
0.01585	2355	-369
0.01259	2397	-418.2
0.01	2448	-478.1
0.007943	2512	-549.4
0.00631	2598	-629.2
0.005012	2712	-710.4
0.003981	2857	-780.9
0.003162	3028	-826.4
0.002512	3215	-834.8
0.001995	3397	-802.4
0.001585	3559	-735.8
0.001259	3691	-648
0.001	3790	-552.9
